,股票代码,公司名称,日期,年份,经营活动产生的现金流量净额,投资活动产生的现金流量净额,筹资活动产生的现金流量净额,自由现金流,资本开支,净利润,营业收入,总资产同比变化,营业总收入同比变化,营业成本,净营业周期,销售收现率,归母加权ROE,毛利率,销售净利率,资产周转率,杠杆倍数,有息负债率,资产负债率,流动比率,速动比率,归母净利润,净资产,归母权益,归属于母公司股东及其他权益持有者的净利润,总股本,市值,固定资产,销售费用率,管理费用率,研发费用率,财务费用,PE-TTM(扣非),股息率,应付账款,现金流肖像
0,002195,岩山科技,2024-12-31,2024,-199907238,-95126752,-142052450,-264920933,70276952,16395207.0,661578789,0.04311579167215102,0.17059220521646024,440102808.0,37.438688266818396,0.8820994561843487,0.0033,0.3347688660556498,-0.08444017542406426,0.06431387274337147,1.0242048555276113,0.002697796973887447,0.023632826379389113,34.980702871374795,34.83978047446776,32461729,9789261372.0,1.723,32461729,5681544595.999999,22555732046.120003,291622374.0,0.041093206813799465,0.38896825333376883,0.3608798482806256,-0.05336808493115096,9388.496767981167,0.002538089957929243,78682956.0,危险
1,002195,岩山科技,2023-12-31,2023,490898021,-840977946,-108180045,430636087,62426186,288657319.0,565165893,0.018201619995446214,-0.15311367780304574,261911675.0,36.51265561883819,0.86235966295298,0.0348,0.5365755820654238,0.5868770764622203,0.0566319150528272,1.034270960722989,0.00567345927245071,0.0331353794358033,28.373237185107108,28.32488946534936,331760347,9735754272.0,1.7006,331760347,5724847663.0,17575282325.41,77522920.0,0.02541755470017367,0.2713727312628188,0.1574735791779282,-0.30392960213542114,95.0987823228602,0.006364722411216826,63105453.0,奶牛型
2,002195,岩山科技,2022-12-31,2022,716391283,650218218,-269188100,710182995,6552176,173900253.0,667345638,-0.008416796114404207,-0.2842782562477101,269201329.0,121.0199687233743,0.8495975783990964,0.0227,0.5966088430475363,0.3177888307408102,0.06719413790799905,1.0511690848122373,0.024515150616150658,0.04867826266159387,20.557211662757158,20.5431891400282,211947960,9408222128.0,1.6434,211947960,5724847663.0,11506943802.63,57366954.0,0.019040169406187083,0.23365149949477904,0.1519880826732848,-0.12200893414695549,31.323221798336927,0.009721242687778934,60032736.0,母鸡型
3,002195,岩山科技,2021-12-31,2021,183908930,-1255329969,-353499389,117225642,73279472,371175595.0,932409339,0.006602545709071857,-0.239341794199485,413846467.0,148.66410003025706,0.9864935276029019,0.0435,0.5561536658954465,0.42630820002972963,0.09379556320274447,1.0740568908015746,0.039349065829692935,0.06895062210932376,12.251958546066696,12.247182341037655,397347917,9275672615.0,1.6202,397347917,5724847663.0,13396143531.0,58369325.0,0.026526833189516135,0.19764781013202615,0.1580952440460273,-0.004953434941946672,-14.237280028018871,0.0,68692722.0,奶牛型
4,002195,岩山科技,2020-12-31,2020,808275310,-515258534,-530145042,795637256,12730227,-975434335.0,1225792783,-0.12963520839129025,-0.49778263150537305,610573405.0,69.97268966802973,0.9507378246654271,-0.0952,0.5018950890658,-0.744826767347675,0.11514076100647451,1.0834359540582044,0.03709028957802495,0.07701050868427628,10.08349689526308,10.078927338001833,-913158157,9135051423.0,1.5957,-913158157,5724847663.0,12938155718.0,84161930.0,0.022878760903913723,0.1441682211307325,0.14504151555279635,-0.02926807491246259,42.42018268321311,0.006690011929369313,155636230.0,奶牛型
5,002195,岩山科技,2019-12-31,2019,1656574972,-1042444565,-1062649752,1477543626,179138084,698960404.0,2440761431,-0.03327498063969435,-0.353255375431293,231362490.0,-258.05555735116974,0.8801437996829768,0.0789,0.9052088880701425,0.31542209050909903,0.21077689469043748,1.1177147012132718,0.06232000814193014,0.10531730591653628,6.05839805955894,6.033607065079631,759120256,10159214361.0,1.7606,759120256,5770427743.0,18638481610.0,137487022.0,0.31246483138974185,0.08202034146286048,0.10123542098859067,0.0008206410403573769,19.475947335632185,0.007151276986494108,205724678.0,奶牛型
6,002195,岩山科技,2018-12-31,2018,-178559858,-566068402,813934182,-209768936,31322272,1333621319.0,3773918388,0.28385522170809213,0.17928061962836023,398975015.0,-155.3575041262739,1.0109198635908605,0.1655,0.8942809637143643,0.3635958844163537,0.3603141343895475,1.2621147054772253,0.1268519844635663,0.20767898855763325,4.212401512453725,4.172899499069925,1367355675,9315673779.0,2.0967,1367355675,4442964822.0,16394540193.0,71811802.0,0.21340684620019398,0.057393230518370184,0.07892644895213351,-0.0063923671684868455,12.818248777013292,0.006250250774874038,317862623.0,危险
7,002223,鱼跃医疗,2024-12-31,2024,1816269733,-25498591,-2399160129,1692620995,128430788,1392839113.0,7565819017,-0.020145697726457593,-0.05091933724638323,3772269939.0,24.728125131158215,1.0457249905426862,0.1482,0.5014062680426393,0.23847601230559545,0.4786487482911093,1.2364123097751547,0.002762301725897206,0.19120831126159452,3.4383130230177805,2.8839212656846778,1805700655,12535332608.0,12.5044,1805700655,1002476929.0,36580383139.21,1956323867.0,0.17994064065516358,0.05660063993571471,0.0722570313632444,-0.031185213982762656,25.417866646285614,0.03287020752145046,1529466269.0,奶牛型
8,002223,鱼跃医疗,2023-12-31,2023,2126977842,1735269025,-1465181814,2025949225,132574471,1835621624.0,7971734452,0.0577830105221565,0.12251402413397679,3866870037.0,22.70142357118368,1.086603599023145,0.2245,0.5149273899822573,0.29811231649892395,0.5132678294014891,1.3400580125229344,0.07757256261838781,0.25376365010245316,3.266115532431365,2.757554888486085,2395853276,11763562139.0,11.7345,2395853276,1002476929.0,34665652204.82,1974016724.0,0.13777637521837513,0.05156070858542943,0.06326994909789803,-0.019753453899921752,17.674643779964715,0.01735106998264893,1410729789.0,母鸡型
9,002223,鱼跃医疗,2022-12-31,2022,2304919409,-417894277,354894728,2127203810,379370430,1250509076.0,7101679160,0.2581587643108555,0.03007858723909611,3683643378.0,55.92541423804118,1.0984682947856519,0.1751,0.48129966237449684,0.22145324416486312,0.5242432179325763,1.4995591753614979,0.14058934253298583,0.3331373537429154,3.0987645193926276,2.598256314775051,1595037435,9860018658.0,9.8357,1595037435,1002476929.0,31938914957.94,2098694250.0,0.14524252374138513,0.05918921828622852,0.06989912861678758,-0.013553521615302036,30.492305699262825,0.009416195856873822,1447449448.0,蛮牛型
10,002223,鱼跃医疗,2021-12-31,2021,1201201634,-1828722259,774704840,917600043,284323694,1318943231.0,6894308112,0.19200775084068802,0.025071165923921508,3565298892.0,56.70816274010779,0.9544235109752228,0.1922,0.48286342384461156,0.21525350446942718,0.62496245535759,1.4232947127795168,0.1263990808393321,0.2974048234556251,3.7509685117535834,3.0363193369992594,1482421641,8272114352.0,8.2517,1482421641,1002476929.0,37893627916.2,1950587214.0,0.1370704164432621,0.05636495724982475,0.061742015454617674,-0.0012529390708495797,25.87296248373702,0.007936507936507936,975942440.0,蛮牛型
11,002223,鱼跃医疗,2020-12-31,2020,2830851056,-1558304375,-453663052,2153111965,678919465,1626319404.0,6725687290,0.2635695449310499,0.45077265808107086,3182544437.0,60.44062406547029,1.0595425063242867,0.2619,0.5268075514405903,0.2611792221758202,0.7460145597438963,1.3429464978725705,0.06386608761632367,0.2553686973251915,2.289789871679687,1.8490647577977732,1759061963,7437320072.0,7.4189,1759061963,1002476929.0,28279874167.09,1843484625.0,0.11211670131038756,0.05347666334930062,0.05969899739421278,0.019016625288268495,19.971662547379943,0.014179369018078695,926862179.0,奶牛型
12,002223,鱼跃医疗,2019-12-31,2019,614203042,-553167155,-166197239,174303792,440389282,707640391.0,4635934688,0.15254924414241325,0.10817611779684916,2679183412.0,127.54850160961615,0.8650494085649206,0.1307,0.4220834432946179,0.16427644418100137,0.6232297527115661,1.293857361931482,0.018830668503078317,0.2271172776961913,2.64167579189886,1.9036843845373037,752567255,6070575009.0,6.0556,752567255,1002476929.0,20370331217.6,1738706696.0,0.13591408106567354,0.05741604787681599,0.05070554199317486,-0.0022285788509365644,27.942841176406034,0.0073818897637795275,942352204.0,奶牛型
13,002223,鱼跃医疗,2018-12-31,2018,798144562,-1066231385,-146866616,411273440,389543751,642441741.0,4183391623,0.042661590870463846,0.1812276004619363,2517348341.0,141.90127621132953,0.8951616089230764,0.1369,0.39825180909198377,0.17949192154798174,0.6179302272652725,1.246495186015379,0.02270741083581553,0.19775061195622157,3.439068593524437,2.736329470679863,727154342,5468172278.0,5.4547,727154342,1002476929.0,19658572597.3,609663901.0,0.12831785340121862,0.05903463009348767,0.03636296974054538,-0.007270826817353408,32.655436208139534,0.007649158592554819,516088736.0,奶牛型
14,002912,中新赛克,2024-12-31,2024,121871881,-15787062,-48605238,104341720,18037735,52942799.0,658452317,-0.06326186916667385,0.008006252657086788,165097731.0,350.85614492097454,1.0549311545668083,0.0352,0.7492639531557758,0.09100485707608194,0.31674784613924256,1.1962076167345903,0.007646223738395489,0.16402471777449318,5.432306449211208,4.69466384639864,59922359,1681052930.0,9.845,59922359,170752000.0,4369543680.0,176343976.0,0.28838041282190524,0.10423980329011433,0.3306982394596084,-0.06829436823137491,-469.94618823084534,0.011723329425556858,83297641.0,奶牛型
15,002912,中新赛克,2023-12-31,2023,88230512,-308282731,-33291825,71301316,16966262,87155699.0,653222453,0.09275046663027549,0.49898404983191547,146518706.0,472.3290325593525,1.06932763990585,0.0707,0.7756986072246969,0.1748925537928501,0.31777878530373616,1.2837209084375603,0.00566839844368699,0.22101447999384982,3.9329265920714405,3.331643919309442,114243743,1672242041.0,9.7934,114243743,170752000.0,4779348480.0,184302146.0,0.3059698117878382,0.10755061874763817,0.33390992608761416,-0.03823677352988967,299.7512904233341,0.0,76691419.0,奶牛型
16,002912,中新赛克,2022-12-31,2022,-121234984,385424611,-111188487,-134897681,14518895,-136731491.0,435776787,-0.09210467924414222,-0.37196873002650954,147511762.0,571.0254652261066,1.2994962326894204,-0.0754,0.6614969718430642,-0.280102363506572,0.21111863597883918,1.261088611909155,0.0027977447324637637,0.20703431102584807,4.10221862295145,3.3170990836857746,-122062108,1557769326.0,9.0657,-122062108,171831718.0,5436755557.52,187952283.0,0.41624131071488213,0.1595019424474301,0.5669338991202393,-0.1118205041059243,-143.0783244045936,0.0,107579005.0,危险
17,002912,中新赛克,2021-12-31,2021,-109986226,-118940819,-59800292,-231224631,121802128,-5754476.0,693877531,-0.056624438595883564,-0.2727415985495254,215415766.0,308.75137166388595,0.8802288742795449,0.0323,0.6895478576896015,0.08109256675152376,0.3113348452576207,1.288093148636722,0.0031561055267871185,0.22365862976728892,3.9362913059872504,3.4101323936136594,56268310,1679831434.0,9.5951,56268310,175071680.0,5793121891.0,203066139.0,0.2751896487047366,0.08435964040461198,0.29962675790981913,-0.00318714456254673,200.0692816814335,0.012046771552659988,88226775.0,危险
18,002912,中新赛克,2020-12-31,2020,224534138,-400713286,64935832,198515099,26020589,238118978.0,954100399,0.08243982381470859,0.05482398434489293,226820642.0,244.0671148795314,0.850367346927396,0.1517,0.7622675326016712,0.2596959316437724,0.43244115838936864,1.3068508884807066,-8.719702002963291e-10,0.23480175985298476,3.865322407200738,3.425291122373666,247775992,1755101814.0,10.0596,247775992,174471040.0,10112341478.0,97150774.0,0.19317843509255256,0.08032984587400849,0.2482231987830874,-0.01819908682377566,39.96972916363636,0.006859736703726859,76299004.0,蛮牛型
19,002912,中新赛克,2019-12-31,2019,264067021,-19380159,-69368000,193629465,70537231,290285872.0,904511476,-0.0071005571289171005,0.3085952432022049,160466054.0,335.3492315753733,1.0154448045941653,0.2106,0.8225936781812595,0.3262517843388866,0.4253430761497288,1.39442045909947,0.0,0.2828561905597617,3.1454949095355147,2.7314622613392117,295098483,1519605457.0,14.2392,295098483,106720000.0,13446720000.0,97146427.0,0.18903455460414745,0.07046837512982533,0.23964002420241265,-0.03617327238864131,61.12145454545455,0.005158730158730159,72840459.0,奶牛型
20,002912,中新赛克,2018-12-31,2018,226135430,-111034242,-50025000,172527600,53624078,197453505.0,691207981,0.3022973422709662,0.38849593298427837,147462598.0,271.6887112686604,1.2096204745645147,0.1695,0.7866595843024562,0.2962275170836027,0.3664107089914014,1.649403875864748,4.685766858572545e-10,0.3937203527694387,2.231463134257618,1.9467103516365238,204754824,1293874974.0,12.124,204754824,106720000.0,8650723200.0,70912458.0,0.2352272347387725,0.08058038033562578,0.24173594141413712,-0.03768797484414463,46.32027282233939,0.005782753515914138,80123869.0,奶牛型
21,300033,同花顺,2024-12-31,2024,2315506812,-119447263,-1310909124,2211829280,103677532,1764896338.0,4186794650,0.11494737341986705,0.17466020793921164,443397836.0,-239.23586028181722,1.1663881124430118,0.248,0.8940961109711937,0.43548307151868554,0.4021633741463142,1.3764803116913285,0.0,0.2735094053785134,3.2470652699608884,3.2467378528151984,1823266690,7974107474.0,14.8328,1823266690,537600000.0,154560000000.0,631769497.0,0.1414109242257678,0.05287500594279206,0.2850016878663968,-0.04918432672593579,124.44268551421561,0.0076521739130434785,161541411.0,奶牛型
22,300033,同花顺,2023-12-31,2023,1591901415,-484212653,-1217779979,1390771659,201129756,1368922317.0,3564260219,0.09053664377581687,0.0014393276646965936,389002785.0,-227.38675024731572,1.0973184909875404,0.2019,0.8908601614084339,0.39348325818744045,0.37772201932159366,1.345046194581352,9.638490882495159e-05,0.25653111105628046,3.420993446541723,3.4208167356237875,1402468555,7319141467.0,13.6145,1402468555,537600000.0,84333312000.0,665146609.0,0.13951195520160758,0.057362873201598864,0.3308510135466066,-0.05702428793401181,55.58386979558605,0.015936762924714732,165138428.0,奶牛型
23,300033,同花顺,2022-12-31,2022,1749608774,-290419782,-968650486,1467928992,281679782,1606750514.0,3559137454,0.061911308642474364,0.014038324075245572,369626160.0,-190.04214411375216,1.055337607649474,0.2555,0.8961472646737515,0.4751667992196628,0.40609132285604405,1.246006095183213,0.00020674175586604746,0.19743570768571575,4.528575032275656,4.528092374249417,1691183952,7245179424.0,13.4769,1691183952,537600000.0,53012736000.0,700620879.0,0.1033735563054767,0.04516612945626348,0.2998118119323413,-0.05177139303594876,30.352060370158814,0.018253726802555523,110188213.0,奶牛型
24,300033,同花顺,2021-12-31,2021,2127812005,-236303448,-646090486,1891508557,236346448,1886101021.0,3509864834,0.18803464851718452,0.23426077963418349,301317737.0,-170.99688523336457,1.079301504235647,0.3359,0.9141511849456023,0.5445237156958849,0.44834696415222697,1.3125815329337944,1.1763022667155178e-10,0.23814256493090616,3.762710762706853,3.7624959347322333,1911204641,6476714843.0,12.0475,1911204641,537600000.0,77726208000.0,405562056.0,0.09607980476435635,0.04152214597788696,0.23604199596935246,-0.04941458295484891,41.10653412414634,0.008299903167796375,79107341.0,奶牛型
25,300033,同花顺,2020-12-31,2020,2066010015,100793556,-456960000,1695937064,370078951,1657632843.0,2843697938,0.3666423337698884,0.6323448175935945,237047487.0,-173.7257628624508,1.1577889627460145,0.3837,0.9166411158399201,0.6062440757025298,0.45896940909567346,1.369718267387616,0.0,0.2699228565395117,3.4675750567602286,3.4675750567602286,1723975028,5224211026.0,9.7177,1723975028,537600000.0,66651648000.0,419102101.0,0.1012825455725319,0.04103571143778774,0.20581948813158368,-0.04885173110112513,58.466357894736845,0.006855944507178577,43834453.0,母鸡型
26,300033,同花顺,2019-12-31,2019,1219079300,-542343847,-258048000,1089738085,129341215,835884425.0,1742093893,0.2675644134713817,0.2561181077897683,180824256.0,-219.00946946339417,1.203976742257026,0.2493,0.896202921824949,0.5152853182064395,0.37197595679996465,1.3122559735144008,0.0,0.2379535544635498,3.7158058516893293,3.7158058516893293,897675406,3990051777.0,7.422,897675406,537600000.0,58657536000.0,438533731.0,0.11439464474375492,0.060423185238730415,0.2668800119604116,-0.0600431712781396,79.80617142857143,0.004399230134726423,41426430.0,奶牛型
27,300033,同花顺,2018-12-31,2018,528201876,-49685711,-483840000,422951931,105297945,588980117.0,1386887015,-0.019104706888731775,-0.01618165081653715,146080304.0,-250.1510321238424,0.9473510637778955,0.2023,0.8946703643338964,0.4570914660989886,0.3325103410761229,1.2367868763746175,0.0,0.19145325779015362,4.576936352413404,4.576936352413404,633934219,3339890154.0,6.2126,633934219,537600000.0,20536320000.0,395189439.0,0.10684380082684673,0.07603620616492686,0.2855757337954455,-0.051491630700717175,37.06916967509025,0.02356020942408377,36341384.0,奶牛型
28,601998,中信银行,2024-12-31,2024,-181032000000,-29532000000,220803000000,-199555000000,18783000000,68062000000.0,213646000000,0.05305041135670607,0.03764036212456774,,,,0.0979,,0.3251546951499209,0.02299097464940663,11.80720244251361,,0.9153059325552555,,,68576000000,683765000000.0,12.58,68576000000,54397013781.0,379691156191.38,45743000000.0,,,,,5.669232182509332,0.06774957228578689,,危险
29,601998,中信银行,2023-12-31,2023,-918000000,1887000000,-63102000000,-14359000000,13524000000,66524000000.0,205896000000,0.05907440301850485,-0.025999091734786556,,,,0.108,,0.33056494540933284,0.023397236833784404,12.321753156157484,,0.9188427176452342,,,67016000000,599162000000.0,12.3,67016000000,48966865954.0,259034720896.66,35162000000.0,,,,,3.9282801428043252,0.0621521451156187,,危险
30,601998,中信银行,2022-12-31,2022,195066000000,-115873000000,-32539000000,188394000000,6799000000,61850000000.0,211392000000,0.0627460249333448,0.03341366953954154,,,,0.108,,0.297787995761429,0.025483611723797102,12.463063732995057,,0.9197629073056433,,,62103000000,547342000000.0,11.25,62103000000,48934843657.0,243695521411.86002,31500000000.0,,,,,4.001568496089655,0.06064256880889391,,奶牛型
31,601998,中信银行,2021-12-31,2021,-75394000000,-206788000000,219918000000,-79707000000,4481000000,55511000000.0,204557000000,0.07079105347362412,0.05045935161838639,,,,0.1073,,0.27560533249901004,0.026302739898206542,12.515652961442582,,0.920100053662343,,,55641000000,508227000000.0,10.45,55641000000,48934842469.0,226078972206.78,34184000000.0,,,,,4.2197019655221455,0.05497835059670025,,危险
32,601998,中信银行,2020-12-31,2020,156863000000,-218249000000,45972000000,152612000000,4619000000,48818000000.0,194731000000,0.11269321538336874,0.03810026441487547,,,,0.1011,,0.25436114434784396,0.02730844812999164,13.411877408318722,,0.9254392230442138,,,48980000000,466490000000.0,9.6,48980000000,48934838569.0,250057025087.59003,33868000000.0,,,,,5.669327433005873,0.046771015562207564,,蛮牛型
33,601998,中信银行,2019-12-31,2019,116969000000,-253064000000,100579000000,113312000000,4056000000,47946000000.0,187584000000,0.11270005475781453,0.13787957829352032,,,,0.1107,,0.2611843227567383,0.02927078857720833,12.676298157453937,,0.9211126160351492,,,48015000000,439228000000.0,8.9758,48015000000,48934811106.0,301927784548.7,22372000000.0,,,,,6.2287827150929385,0.03727713641701829,,蛮牛型
34,601998,中信银行,2018-12-31,2018,102316000000,-144573000000,74042000000,98716000000,4754000000,44377000000.0,164854000000,0.06851781824688945,0.05198203027286418,,,,0.1139,,0.27524961481068094,0.028073623142253694,13.389762649916351,,0.9253160772042328,,,44513000000,401706000000.0,8.209,44513000000,48934796573.0,266694641306.5,21385000000.0,,,,,5.997046194295159,0.04788990825688074,,蛮牛型
