,股票代码,公司名称,日期,年份,经营活动产生的现金流量净额,投资活动产生的现金流量净额,筹资活动产生的现金流量净额,自由现金流,资本开支,净利润,营业收入,总资产同比变化,营业总收入同比变化,营业成本,净营业周期,销售收现率,归母加权ROE,毛利率,销售净利率,资产周转率,杠杆倍数,有息负债率,资产负债率,流动比率,速动比率,归母净利润,净资产,归母权益,归属于母公司股东及其他权益持有者的净利润,总股本,市值,固定资产,销售费用率,管理费用率,研发费用率,财务费用,PE-TTM(扣非),股息率,应付账款,现金流肖像
35,605398,新炬网络,2024-12-31,2024,-68284475,-6269171,-75480969,-67589416,1210306,16631626.0,533059763,-0.05348090055826531,-0.1625219270932987,315170718.0,239.22736824838037,0.9402574041214963,0.0204,0.4087516262224429,0.039779873612407694,0.42968508827678153,1.179476163096583,0.016525146987780973,0.15216599428799682,6.620804962193199,5.274214372309483,21387625,1022640400.0,6.2848,21387625,162716379.0,3534199751.8799996,2712122.0,0.05381253096006048,0.1075110165461879,0.22633352275737234,-0.014973531213609908,69.40358904439664,0.0039131820414630555,84150813.0,危险
36,605398,新炬网络,2023-12-31,2023,52152187,468848,-14420872,50331085,1821922,55723045.0,636505934,0.03323712041100379,0.03803004940631236,399319373.0,151.10742138247278,1.025196648048846,0.0571,0.3726384128258575,0.09372586304906311,0.5075133574336808,1.1961214989829227,0.016891303309720832,0.16396452964827346,6.088123501587871,4.888516092688945,59563002,1065215773.0,9.1343,59563002,116616489.0,3444851085.06,6533860.0,0.045071330002714474,0.08709565149160102,0.17270400341625095,-0.01946854748411505,70.65182655192778,0.0036270432281348894,102020617.0,母鸡型
37,605398,新炬网络,2022-12-31,2022,61659487,-3036116,-54226225,55153419,6507753,44621899.0,613186424,-0.017391768635576767,0.03677430958948229,393110230.0,141.33989851725065,1.0935984600337465,0.057,0.3589058488352964,0.09305877587400728,0.49268469816964383,1.211149777312888,0.015133930052679418,0.17433828686436673,5.751448522028467,4.582467955761437,56979110,1018231773.0,12.224,56979110,83297492.0,2336494650.6,7412988.0,0.043935966201365216,0.07680383021656723,0.16906163271481692,-0.014923058700986504,48.91520319398899,0.006366182775629421,114131119.0,奶牛型
38,605398,新炬网络,2021-12-31,2021,78932305,-543382,474643651,75294149,3745836,55909512.0,591436746,0.8938890094051077,0.05429773742260926,368547813.0,150.59298984876483,1.0687888202333644,0.0757,0.37686013678967456,0.11724906588742796,0.6165870586666522,1.2858435757744324,0.043809446807350806,0.22230042766006336,4.553715528427008,3.5748457494411996,69254724,976127215.0,16.406,69254724,59498208.0,2288896061.7599998,3567473.0,0.052079887170216506,0.08427199753327468,0.14704739363624186,-0.015067645120582345,28.256285926601056,0.010397712503249288,150676110.0,蛮牛型
39,605398,新炬网络,2020-12-31,2020,91551896,-442327,-31871105,91109569,442664,99205983.0,560976966,0.21183952508917112,0.012058793187095393,331967972.0,109.39789709771195,1.0049018091056523,0.2949,0.40823243712291746,0.19348377665830935,0.9272663501952431,1.5949323106354374,0.07702226504003656,0.37301414553720147,2.6567249579121675,1.7516954851485882,108489239,415458791.0,9.3103,108489239,44623656.0,0.0,1745292.0,0.04004209506170704,0.073236839460535,0.0968667365925324,0.0002478640094466909,0.0,,131375003.0,奶牛型
40,605398,新炬网络,2019-12-31,2019,109041193,-1160752,-19216629,107880441,1161624,97397083.0,554292863,0.22209956186917248,0.05038164430443951,324595566.0,72.58808905330226,1.0479866723450848,0.3769,0.4143969954020498,0.19056537807162782,1.1145394530973962,1.6723732020480377,0.1108941439698597,0.4020473427968288,2.459718236612739,2.250818990849879,105602112,326969553.0,7.3273,105602112,0.0,0.0,2437094.0,0.044472367669651916,0.08609297392306493,0.08588656318311644,0.0033823076664799127,0.0,,96808973.0,奶牛型
41,605398,新炬网络,2018-12-31,2018,75446267,-1321805,-33317828,74124462,1412805,83463179.0,527706159,0.22693293718732502,0.37513894650091534,324060660.0,75.16116807837732,0.9838112160445716,0.4137,0.38590699677621154,0.17206592807646195,1.2990489706279593,1.8691885914857267,0.12416758097279491,0.4650085044628114,2.1157501193852033,1.8795736618400491,90797297,239367441.0,5.3641,90797297,0.0,0.0,2566135.0,0.042464814211122366,0.07889092876780314,0.0787012190244306,0.003076799412530639,0.0,,87034569.0,奶牛型
42,688590,新致软件,2024-12-31,2024,38542610,-399060485,306815285,-371186751,409793149,-4114435.0,1995198312,0.14954043505839304,0.18571745986963883,1491939247.0,273.0868747866333,0.9478057231836712,0.0056,0.2522351096495916,0.0014603370414238803,0.6876327844603274,1.9356777485111638,0.3747039362560003,0.48338508268271674,2.0462985606437054,1.6983366547830434,8092740,1378623257.0,5.1981,8092740,265217244.0,4251432421.32,502603554.0,0.06263214250353676,0.060016877660630255,0.07632891982919841,0.02479111409753438,118.01397440131696,0.00698896537811474,115243447.0,蛮牛型
43,688590,新致软件,2023-12-31,2023,85943227,-189093940,31854936,-118583030,204552243,43266042.0,1682692867,0.13422639811435935,0.27920860298807565,1240281848.0,294.45750072935755,1.0770071434551343,0.0525,0.26291846104319405,0.04716652548810026,0.6624913956685295,1.6929323623472339,0.2886070043175241,0.40930894686571534,2.4150132317576634,1.9750700342609788,68615165,1330044220.0,5.1785,68615165,256838214.0,5809544861.64,93827796.0,0.051639871841211056,0.05386669354675525,0.08040035924155374,0.026420504818126148,-125.06549201895866,0.0,105608982.0,蛮牛型
44,688590,新致软件,2022-12-31,2022,-128053738,-76573124,336423110,-200955383,72925354,-68064645.0,1315417097,0.19460244745016447,0.025682024378128433,1051808651.0,326.31793657386186,0.9780815939934525,-0.045,0.20039913317319458,-0.034522002263438725,0.6016541254803927,1.6772225168854726,0.3105681388734706,0.4037761895440353,3.1898495029456493,2.7106233420448,-51939208,1081348116.0,4.5297,-51939208,238723764.0,2286973659.12,94276287.0,0.060818046369059776,0.06167785197944709,0.09420208638203521,0.0172068464456031,55.97897073534035,0.019101814761088937,30820219.0,危险
45,688590,新致软件,2021-12-31,2021,-10609034,-124540746,-233034477,-48924750,38326364,66220992.0,1282480404,-0.016870331496123478,0.1938040650240615,877174610.0,294.8296680578475,0.9784131360497575,0.1281,0.3160327383840479,0.11303066428763928,0.6381895730357918,1.5516069133944053,0.24890133520206703,0.3555068675143183,2.6838558641450114,2.330010299393558,141217999,1156554994.0,6.3539,141217999,182022280.0,3345569506.3999996,75572502.0,0.06292335832056893,0.07793792925665631,0.09457090854699718,0.016311219988044356,47.796780716897665,0.007616974972796517,6540879.0,危险
46,688590,新致软件,2020-12-31,2020,29603983,-23594098,567735778,-12930874,42542319,64614645.0,1074280480,0.5002352409038223,-0.038845987265878124,724448938.0,298.42420529108705,1.0204422917560598,0.1367,0.3256426496737612,0.07924107771184673,0.6361305505960064,1.7129950700748553,0.3176466256671039,0.41622715822743056,2.2129506485125905,1.9686917781345565,81610434,1048829682.0,5.7621,81610434,182022280.0,3585838916.0,115197104.0,0.056046933851018124,0.06091955892189347,0.09397816201593834,0.024590307179369022,98.81056920475743,0.0,15669979.0,蛮牛型
47,688590,新致软件,2019-12-31,2019,-16596365,-25239629,83939421,-40814950,24388859,64773509.0,1117698585,0.17632629843947736,0.12517208487911516,776732984.0,239.35341120211564,0.9152667890332884,0.1487,0.305060421097339,0.07632747338585921,0.8944126615281243,1.966522757151585,0.33991065869003156,0.4914882137197067,1.7616736459706563,1.519861417490854,79577880,556166823.0,4.07,79577880,0.0,0.0,91293336.0,0.05006764323674973,0.06157519471137203,0.08184508169525866,0.02231832565127565,0.0,,12954554.0,危险
48,688590,新致软件,2018-12-31,2018,31684788,-43928730,31953799,-8866081,45039495,46230061.0,993357905,0.1496019466732617,0.12810294135030792,716796895.0,217.46209948069557,0.9635283629217205,0.1329,0.2784102372447522,0.06555401801528926,0.9251932242196532,1.888377250979924,0.30579659637554774,0.4704447961968001,1.7695346739809892,1.4737219125712526,60687005,487495897.0,3.57,60687005,0.0,0.0,78003152.0,0.051837984819781545,0.06517227947161704,0.0782305225627615,0.024245679103947936,0.0,,9493021.0,蛮牛型
49,002987,京北方,2024-12-31,2024,261074556,-13546065,-74383308,234731378,26371418,304165696.0,4636169749,0.09983260040367839,0.09291786509458831,3597885284.0,144.21744959042005,1.0497716146070302,0.1168,0.2239530735957097,0.06721594567740233,1.4370097048301946,1.2034668846253629,0.0059017814459530315,0.16906728986456632,5.1949984475425754,3.7069152549845,311624534,2808260514.0,4.534,311624534,619255711.0,8812008767.53,46721608.0,0.018398859968058515,0.03704244350350684,0.09213032850924631,-0.000682095602880394,27.93780622998573,0.008513063136797951,1567609.0,奶牛型
50,002987,京北方,2023-12-31,2023,131025531,67719136,-44975265,-219359501,350489107,328763100.0,4242011131,0.1376202347216218,0.15482797300378526,3252793227.0,138.69731290596505,1.0007829093082123,0.1461,0.23319549936371908,0.08194866309038924,1.4693444143765884,1.2068898072122176,0.009288823452978084,0.17142394108879763,5.176012937948281,3.7672742488717135,347627141,2546110981.0,5.7699,347627141,441277573.0,8198937306.339999,51796584.0,0.01763391294599599,0.03326833679635623,0.0928610788220961,0.00012801899458287865,26.076066354252923,0.003840720513334068,2260716.0,母鸡型
51,002987,京北方,2022-12-31,2022,134846222,-295454214,-47399407,127727767,7191052,251996957.0,3673284013,0.11698066304230881,0.2026747337286343,2846755740.0,128.75742703834047,0.9946936158677039,0.1322,0.2250107179501668,0.07539767413024157,1.4350453532962324,1.2150541852649155,0.014266820107168824,0.17699143616218863,5.737446891273593,4.533788030392611,277038161,2223064152.0,7.0596,277038161,314898267.0,8373144919.53,56664841.0,0.018684069284353483,0.03449815520703653,0.09431078396714215,0.0007509740576109381,39.5748201774549,0.0029549239834951785,2858082.0,奶牛型
52,002987,京北方,2021-12-31,2021,-49488953,323209327,-38849977,-63066028,13611375,209259152.0,3054262229,0.157565654727189,0.3322447020997248,2334165655.0,115.42897400599293,0.9473585095368051,0.1234,0.23576776321389004,0.0754627571960194,1.3552391628375395,1.2255837796266227,0.02097517656578033,0.1840623088224557,5.610281576898909,4.782627633441464,230606135,1970767998.0,8.7618,230606135,224927334.0,7067216834.0,63763953.0,0.02211261638202972,0.039334333790761095,0.09198268744985354,-0.00017205398901588552,27.942319200247752,0.004546694569231173,2833313.0,危险
53,002987,京北方,2020-12-31,2020,55374323,-618393081,818359839,32049186,23488611,257900431.0,2292568493,1.346757175803513,0.3590017952544251,1651847718.0,94.06008709722637,0.9072724122969092,0.2052,0.2794772662000463,0.12042223333477522,1.5390045815311129,1.178803560870944,-4.786781966388099e-10,0.15168223680868187,6.405494152388061,5.81220352648105,276076218,1772208906.0,11.0306,276076218,160662382.0,7670022117.0,69056895.0,0.024705766991451016,0.03893949178512068,0.08411006894178756,-0.0006494436282039579,34.08898718524445,0.0,8964138.0,蛮牛型
54,002987,京北方,2019-12-31,2019,184396397,-7373471,-27623032,176835622,7926343,168822017.0,1686950305,0.3408424093152249,0.375990088801341,1233676990.0,78.98806325386894,1.0144527819982225,0.3213,0.26869393464438773,0.10355868189015799,2.1709491255180553,1.412143720660483,0.051673707548347866,0.29185678102772467,3.1738304058906714,3.1393579340003686,174698350,630389978.0,5.23,174698350,0.0,0.0,66360504.0,0.025007922803037166,0.0485920680396095,0.0734316989853474,0.0036107572238175682,0.0,,8450814.0,奶牛型
55,002987,京北方,2018-12-31,2018,54094907,-19565988,11321391,34340282,19760315,73176299.0,1225990157,0.24316216528950838,0.21411865173172406,952440531.0,87.33136626984924,0.9932680536194549,0.1845,0.22312546674059475,0.06364582582860003,2.0467916214880604,1.440220028611554,0.09037343332021217,0.30566164731555284,2.911453348586582,2.845938320202248,78029156,460979503.0,3.83,78029156,0.0,0.0,71710754.0,0.02683651072738588,0.058352568812671146,0.06393728575424444,0.0035593572877273922,0.0,,6592766.0,蛮牛型
56,301236,软通动力,2024-12-31,2024,741398323,-1699141867,1903189421,57901283,691615294,72465865.0,31316390335,0.48431970227429755,0.7812949994388724,27415678750.0,83.4708538190504,1.1107857183055514,0.0171,0.12455814809028176,0.00435286054815998,1.6142912177231694,2.1734584806315693,0.28110256149518265,0.5399037943851509,1.8904771425029265,1.4356873139126947,180378471,10574475341.0,11.0967,180378471,952941177.0,55947176501.67,1040358876.0,0.03214581895394554,0.04881852252592955,0.029294215207641684,0.003947849502368262,280.5398634679717,0.003065917222737414,2681367512.0,蛮牛型
57,301236,软通动力,2023-12-31,2023,872344309,-918612308,-56831217,337235292,539537983,461754325.0,17580687278,0.03683424323788092,-0.07972297637847425,14194499181.0,119.00493442759837,1.0548805859374664,0.0518,0.19260840281468317,0.027684260023728067,1.1460594942500497,1.4734248405401127,0.1671945276307466,0.3213091211130725,2.6562455843797714,2.48654071437995,533896395,10560921113.0,11.0824,533896395,952941177.0,44025882377.4,812223099.0,0.032892370352530655,0.07817294803484759,0.05441436246904386,0.0009726682313153195,87.5966903129881,0.0,199438666.0,奶牛型
58,301236,软通动力,2022-12-31,2022,1012373474,-851905118,3153100539,620174168,395570257,837899325.0,19103690331,0.43139187097834586,0.14921797852552357,15042166847.0,103.91734496311004,1.034816556826232,0.1114,0.21260413111959164,0.04973416049663666,1.493302726177274,1.5017801320573974,0.17767319150877342,0.33412356532508686,2.6960862445805645,2.5405057697057662,973320004,10058371166.0,15.8326,973320004,635294118.0,22349647071.24,703071502.0,0.03107072899086976,0.0763603056124099,0.055417291562880076,0.00395146040854236,26.811176597482365,0.01421262080727686,138553617.0,蛮牛型
59,301236,软通动力,2021-12-31,2021,647206842,-220266688,-291995228,366201108,282670056,868390916.0,16623208728,0.16389927755429579,0.27877776502733365,12522412017.0,103.18646118477223,0.9993827244085123,0.2055,0.24669104371484252,0.05640495486413891,1.6993340652717834,2.0938212757396406,0.30425002684715174,0.5224043180826162,1.7431808266928546,1.594259809213973,944779223,5078404421.0,14.1067,944779223,360000000.0,0.0,730302805.0,0.034740688302088193,0.08508912287298087,0.06021984451857627,0.0078012894575259645,0.0,,119496507.0,奶牛型
60,301236,软通动力,2020-12-31,2020,1422749383,-228566005,-431452907,1240874591,183030066,1106333933.0,12999294469,0.1196348761267729,0.22580211385997717,9460253740.0,111.12020292832518,1.030666487012096,0.342,0.27224867760628924,0.09654131583777725,1.5189241614673463,2.2187029225784247,0.3130895887184187,0.5492862114059558,1.8048825779874473,1.6451639721395925,1258631373,4117741669.0,11.4382,1258631373,0.0,0.0,642413087.0,0.028678196181263844,0.0785246501980753,0.06421187865161207,0.010955195940795947,0.0,,74674930.0,奶牛型
61,301236,软通动力,2019-12-31,2019,1126197426,-333748786,-333421007,997976116,129221295,657626845.0,10604725120,0.07855133067886194,0.3029113398246779,7754609143.0,122.22206401582086,1.029016711090386,0.2398,0.26875906209250244,0.06688306023720868,1.3628775766130927,2.463053041877488,0.36060998463602045,0.5939998112108299,1.5684836953904329,1.4106614287910861,712010017,3317585660.0,0.0,712010017,0.0,0.0,569836821.0,0.029163541864628738,0.07096188467730882,0.07730850236314282,0.015245739816026461,0.0,,97678633.0,奶牛型
62,301236,软通动力,2018-12-31,2018,213263605,-130700584,139670736,28963258,185135229,280327045.0,8139253068,0.11621418294638039,0.1612919849537193,6158162189.0,134.58603551315161,0.9614548513998853,0.1246,0.2433995923764537,0.03601020690121144,1.1468078366825185,2.897565413224892,0.4006839215033118,0.6548826834293849,1.3225285801699307,1.1735344922612032,306598916,2620341367.0,0.0,306598916,0.0,0.0,557641898.0,0.021484638152794194,0.07664386176326222,0.061366508551469946,0.020240085131113902,0.0,,157918523.0,蛮牛型
63,300662,科锐国际,2024-12-31,2024,118299678,-66633854,-275734221,35927073,82530675,138854501.0,11787660144,0.07368263357257125,0.20546713519221002,11037921002.0,65.24297049759818,1.038660696307228,0.1091,0.06360372905572975,0.01736807419784735,3.033011659381684,1.9586184198228027,0.10459631668968791,0.48943602802915,1.9374953979484668,1.921808310763191,205349967,1972178808.0,10.0209,205349967,196806359.0,4144741920.54,9131917.0,0.014094345270428082,0.023502511237653477,0.0035020346273736277,0.002411634510388375,31.666363026597992,0.0037986705328926047,121410686.0,奶牛型
64,300662,科锐国际,2023-12-31,2023,175002759,-91443159,-398895776,113137756,61991553,134072720.0,9778499803,-1.3341658777404933e-05,0.07549854965044411,9063516053.0,65.809826730076,1.0610017958804883,0.0987,0.07311793878450012,0.022754321571059093,2.6087238155997934,2.023670440967321,0.1713049824123431,0.5058483932186129,2.080757060301433,2.06038218519191,200501198,1795320801.0,9.1223,200501198,196806359.0,5435791635.58,8846836.0,0.01866466694042434,0.026132414802688114,0.004198409656602414,2.34033854487362e-06,34.25947700399499,0.004236060825488776,95274091.0,奶牛型
65,300662,科锐国际,2022-12-31,2022,337738569,-174555865,-131030218,273298576,64449576,235249265.0,9092062287,0.10621955310935838,0.29692974656563187,8212216436.0,60.81631765024308,1.0367896347870675,0.1348,0.09677076808613816,0.04032501179894304,2.5479040131816104,1.5292456172979323,0.04103339284549058,0.3460828079619227,2.5440529382945574,2.5254377678267272,290693988,2263228092.0,11.498,290693988,196837115.0,9645018635.0,10633344.0,0.021225762308726692,0.024552934631693862,0.004763686238921605,-0.0002960803517425353,41.033707745232874,0.004224489795918367,92541665.0,奶牛型
66,300662,科锐国际,2021-12-31,2021,-42728239,-37739388,671892430,-74906348,32186662,210645700.0,7010450883,0.7068679894609591,0.7829219290934257,6202706160.0,56.52004293976961,0.9517669295965026,0.1625,0.11522008162966257,0.04206902179646867,2.609174402035313,1.530268911701937,0.045256692892206185,0.34652008391922545,2.551057290195734,2.534228563082193,252542937,2050730110.0,10.4157,252542937,196887795.0,12248389727.0,10714669.0,0.02413455850754015,0.03084536966436371,0.005528277374281405,0.0015496777855393755,58.75955628289568,0.001527085677543803,79425198.0,危险
67,300662,科锐国际,2020-12-31,2020,200931773,-80720062,-24998341,161434423,39582819,149303602.0,3932001042,0.17861765548816125,0.0964989269266125,3398419290.0,66.87551871946123,1.0444615828257962,0.1967,0.13570234247155621,0.052792608339293515,2.1430375582070846,1.67832009778915,0.01971807036376349,0.4041661055496509,1.9105147556420015,1.8835176149957722,186313763,1038342488.0,5.6785,186313763,182856000.0,9892509600.0,11411922.0,0.025301750924612294,0.04564838998839716,0.003696509447669673,-0.0010453542499340976,71.05855086022066,0.003077270604822056,42946036.0,奶牛型
68,300662,科锐国际,2019-12-31,2019,123257774,-38583364,-27008368,96041626,27220504,132600644.0,3585959772,0.22211627391175318,0.6323692564031431,3072930005.0,58.13903215798985,1.0247432192889643,0.1923,0.14306623599234292,0.049862215799558615,2.3417921051677224,1.70301865581354,0.020486350247153496,0.41280737202359347,1.899710852878726,1.8724059274991856,152242154,861320814.0,4.7251,152242154,182287000.0,5794903730.0,9993774.0,0.03166567145751015,0.045144138610822095,0.0021163182195341147,-0.0002742428980042668,44.854951587819194,0.004069092619766438,70996884.0,奶牛型
69,300662,科锐国际,2018-12-31,2018,133258591,-301775217,-9107129,108371088,24929873,107884322.0,2196782228,0.49354403979034506,0.9353707572876044,1798750996.0,61.78325330027167,1.0444255191780438,0.1743,0.18118829755937005,0.062383434849965475,1.9094034409599712,1.6561626434926981,0.0436109290974803,0.3961945682514068,1.9036352193407011,1.854511388210105,117674956,728015342.0,4.0445,117674956,180000000.0,4788000000.0,11724703.0,0.042311716116086494,0.059971898133910066,0.0022671905920025495,-0.00023033006801983287,48.763944013125936,0.003120300751879699,59971080.0,奶牛型
